0:0:0:0:0:0:0:1 - - [02/May/2022:23:10:22 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:10:22 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:23:20:50 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:23:20:51 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:20:51 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:23:20:51 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:23:20:51 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:20:51 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:23:22:52 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:22:55 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 200 5405
0:0:0:0:0:0:0:1 - - [02/May/2022:23:22:55 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:22:56 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:23:22:56 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:22:56 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:23:22:56 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:23:11 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 200 5419
0:0:0:0:0:0:0:1 - - [02/May/2022:23:23:11 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:23:12 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
